gtaa,wikidata,label,description,lookup,bengwiki
251349,Q13573542,Dirk Nijland,programmamaker,"Dirk Nijland Dirk Nijland - Nijland, Dirk ",
107046,Q13578866,Erik Jan Harmens,dichter,"Erik Jan Harmens Erik Jan Harmens - Harmens, Erik Jan ","Harmens,_Erik_Jan"
117974,Q13578867,Erik Kessels,"kunstenaar, reclamemaker, curator","Erik Kessels Erik Kessels - Kessels, Erik ","Kessels,_Erik"
223743,Q13637660,Frans van Deijl,journalist en schrijver,"Frans van Deijl Frans van Deijl - Deijl, Frans van ","Deijl,_Frans_van"
233925,Q13641675,Geraldine Kemper,programmamaakster,"Geraldine Kemper Geraldine Kemper - Kemper, Geraldine Geraldine Kemper",Geraldine_Kemper
165732,Q13641843,Gerrit Visscher,programmamaker,"Gerrit Visscher Gerrit Visscher - Visscher, Gerrit ","Visscher,_Gerrit"
156087,Q13653617,Hans Somers,acteur,"Hans Somers Hans Somers - Somers, Hans ","Somers,_Hans"
80000,Q13724394,Henk Barnard,programmamaker,"Henk Barnard Henk Barnard - Barnard, Henk ","Barnard,_Henk"
86149,Q13733631,Isabelle Brinkman,radio dj,"Isabelle Brinkman Isabelle Brinkman - Brinkman, Isabelle Isabelle Brinkman",Isabelle_Brinkman
120520,Q13735636,Jan Kooper,saxofonist,"Jan Kooper Jan Kooper - Kooper, Jan ","Kooper,_Jan"
158801,Q13735883,Jan Stulen,dirigent,"Jan Stulen Jan Stulen - Stulen, Jan ","Stulen,_Jan"
231188,Q13737061,Jeroen Wollaars,journalist,"Jeroen Wollaars Jeroen Wollaars - Wollaars, Jeroen ","Wollaars,_Jeroen"
93361,Q13737688,Johan Diepstraten,programmamaker,"Johan Diepstraten,Johannes Josephus Maria Diepstraten Johan Diepstraten - Diepstraten, Johan ","Diepstraten,_Johan"
85396,Q13745829,Krijn ter Braak,acteur/regisseur,"Krijn ter Braak Krijn ter Braak - Braak, Krijn ter ","Braak,_Krijn_ter"
131426,Q13809086,Maike Meijer,actrice/presentatrice,"Maike Meijer,Maike Elise Meijer Maike Meijer - Meijer, Maike ","Meijer,_Maike"
81512,Q13815342,MarieClaire van den Berg,journaliste,"Marie-Claire van den Berg Marie-Claire van den Berg - Berg, Marie-Claire van den ","Berg,_Marie-Claire_van_den"
87115,Q13835565,Menno Buch,"presentator, exploitant 06-lijnen","Menno Buch Menno Buch - Buch, Menno Menno Maria Renirus Buch",Menno_Buch
103275,Q14282361,Rob Groen,roeier,"Rob Groen Rob Groen - Groen, Rob ","Groen,_Rob"
90044,Q14339790,Simon van Collem,filmjournalist,"Simon van Collem Simon van Collem - Collem, Simon van Simon van Collem",Simon_van_Collem
246731,Q14481856,Theo Olthuis,programmamaker,"Theo Olthuis Theo Olthuis - Olthuis, Theo ",
162679,Q14489488,Thomas Verbogt,schrijver,"Thomas Verbogt Thomas Verbogt - Verbogt, Thomas ","Verbogt,_Thomas"
145244,Q14514690,Vic van de Reijt,uitgever,"Vic van de Reijt Vic van de Reijt - Reijt, Vic van de ","Reijt,_Vic_van_de"
